TIME_TO_INTERVAL,Year,Month,Date,Weekday,Day,Hour,power,dayofweek,isholiday,Temperature,RH,WS,feel_temp,pre_day_1,pre_day_7,pre_day_1_7_2,pre_day_1_7_3,pre_day_1_7_H,pre_similarity,next_similarity
2022-01-12 00:00:00,2022,1,2022-01-12 00:00:00,3,12,0,399.0599999999993,2,0,13.6,82,0.3,14.206372348790062,426.8600000000001,396.64999999999975,426.8600000000001,426.8600000000001,426.8600000000001,472.7099999999997,313.9399999999997
2022-01-12 01:00:00,2022,1,2022-01-12 00:00:00,3,12,1,374.4099999999999,2,0,13.4,69,1,13.105473006063047,313.9399999999997,320.85000000000025,313.9399999999997,313.9399999999997,313.9399999999997,426.8600000000001,259.83999999999986
2022-01-12 02:00:00,2022,1,2022-01-12 00:00:00,3,12,2,307.57999999999987,2,0,13.5,69,0.6,13.486298703216622,259.83999999999986,295.4299999999996,259.83999999999986,259.83999999999986,259.83999999999986,313.9399999999997,227.45000000000059
2022-01-12 03:00:00,2022,1,2022-01-12 00:00:00,3,12,3,294.0599999999995,2,0,13.4,68,1.2,12.944784991482425,227.45000000000059,238.83000000000146,227.45000000000059,227.45000000000059,227.45000000000059,259.83999999999986,195.5400000000013
2022-01-12 04:00:00,2022,1,2022-01-12 00:00:00,3,12,4,255.2000000000013,2,0,13.4,69,1,13.105473006063047,195.5400000000013,223.89999999999856,195.5400000000013,195.5400000000013,195.5400000000013,227.45000000000059,188.959999999999
2022-01-12 05:00:00,2022,1,2022-01-12 00:00:00,3,12,5,226.94000000000054,2,0,13.5,70,0.5,13.582187090219762,188.959999999999,183.7200000000002,188.959999999999,188.959999999999,188.959999999999,195.5400000000013,164.0700000000004
2022-01-12 06:00:00,2022,1,2022-01-12 00:00:00,3,12,6,235.05999999999852,2,0,13.3,70,0.4,13.405214870403775,164.0700000000004,184.85999999999996,164.0700000000004,164.0700000000004,164.0700000000004,188.959999999999,191.42999999999927
2022-01-12 07:00:00,2022,1,2022-01-12 00:00:00,3,12,7,233.9599999999997,2,0,13,71,0.6,12.942749951727237,191.42999999999927,228.69000000000008,191.42999999999927,191.42999999999927,191.42999999999927,164.0700000000004,240.26999999999947
2022-01-12 08:00:00,2022,1,2022-01-12 00:00:00,3,12,8,269.8200000000008,2,0,13,73,1,12.742545725015326,240.26999999999947,231.1600000000003,240.26999999999947,240.26999999999947,240.26999999999947,191.42999999999927,224.22999999999985
2022-01-12 09:00:00,2022,1,2022-01-12 00:00:00,3,12,9,291.2300000000005,2,0,13.5,71,0.6,13.548075477222898,224.22999999999985,249.1800000000003,224.22999999999985,224.22999999999985,224.22999999999985,240.26999999999947,243.16999999999942
2022-01-12 10:00:00,2022,1,2022-01-12 00:00:00,3,12,10,287.02999999999884,2,0,14.3,69,0.7,14.390786647128966,243.16999999999942,250.98999999999918,243.16999999999942,243.16999999999942,243.16999999999942,224.22999999999985,306.3300000000018
2022-01-12 11:00:00,2022,1,2022-01-12 00:00:00,3,12,11,322.6900000000012,2,0,14.6,67,1.1,14.429352656514101,306.3300000000018,272.3100000000007,306.3300000000018,306.3300000000018,306.3300000000018,243.16999999999942,294.64999999999844
2022-01-12 12:00:00,2022,1,2022-01-12 00:00:00,3,12,12,335.3999999999993,2,0,15.3,66,1.3,15.115986804940267,294.64999999999844,305.1100000000002,294.64999999999844,294.64999999999844,294.64999999999844,306.3300000000018,288.72000000000037
2022-01-12 13:00:00,2022,1,2022-01-12 00:00:00,3,12,13,268.79000000000127,2,0,15.6,65,1.8,15.12104920551175,288.72000000000037,295.2999999999992,288.72000000000037,288.72000000000037,288.72000000000037,294.64999999999844,264.9600000000013
2022-01-12 14:00:00,2022,1,2022-01-12 00:00:00,3,12,14,258.3599999999991,2,0,17.1,61,0.7,17.51555489485338,264.9600000000013,258.4900000000004,264.9600000000013,264.9600000000013,264.9600000000013,288.72000000000037,290.30999999999835
2022-01-12 15:00:00,2022,1,2022-01-12 00:00:00,3,12,15,277.85999999999956,2,0,17.1,59,1.1,17.177733422890974,290.30999999999835,272.14,290.30999999999835,290.30999999999835,290.30999999999835,264.9600000000013,333.0200000000012
2022-01-12 16:00:00,2022,1,2022-01-12 00:00:00,3,12,16,312.17000000000024,2,0,17.5,58,0.4,18.079538373749116,333.0200000000012,305.8700000000005,333.0200000000012,333.0200000000012,333.0200000000012,290.30999999999835,364.7800000000006
