TIME_TO_INTERVAL,Power,Radiation,ClearSkyRadiation,Radiation(SDv3)(CWB),Radiation(SDv3)(IBM),Radiation(SDv3)(OWM),Radiation(MSM),WeatherType(CWB),WeatherType(pred)(CWB),WeatherType(IBM),WeatherType(pred)(IBM),WeatherType(OWM),WeatherType(pred)(OWM),ApparentTemperature(pred)[CWB],Temperature(pred)[CWB],RelativeHumidity(pred)[CWB],FeelsLikeTemperature(pred)[IBM],Temperature(pred)[IBM],RelativeHumidity(pred)[IBM],FeelsLikeTemperature(pred)[OWM],Temperature(pred)[OWM],RelativeHumidity(pred)[OWM]
2021-05-03 16:00:00,0.7552354416272039,0.07777777777777778,0.348662075,0.0354,0.0354,0.0354,0.0354,多雲,多雲,多雲,多雲,晴,晴,32,28,72,29,27,71,24.56,24.06,78
2021-05-03 17:00:00,0.2992638888888995,0.02777777777777778,0.121582665,0.03146,0.03146,0.03146,0.03146,多雲,多雲,多雲,多雲,晴,晴,32,28,72,28,26,76,24.56,24.06,78
2021-05-04 06:00:00,0.2552888888888892,0.05833333333333333,0.142299427,0.08425681423600717,0.08425681423600717,0.08425681423600717,0.04517,多雲,多雲,多雲,多雲,晴,晴,26,22,92,22,22,91,22.820000000000054,22.410000000000025,81
2021-05-04 07:00:00,1.1450509626274006,0.14166666666666666,0.371365288,0.17000667528553812,0.17000667528553812,0.17000667528553812,0.05338,多雲,多雲,多雲,多雲,晴,晴,26,22,92,24,22,91,22.820000000000054,22.410000000000025,81
2021-05-04 08:00:00,2.119591553209252,0.31666666666666665,0.5907886379999999,0.2336199174872093,0.2336199174872093,0.2336199174872093,0.18068,多雲,多雲,多雲,多雲,晴,晴,26,22,92,28,26,75,22.820000000000054,22.410000000000025,81
2021-05-04 09:00:00,4.2866096945923235,0.5305555555555556,0.7722299709999999,0.4195901934012125,0.4195901934012125,0.4195901934012125,0.50097,多雲,多雲,多雲,多雲,晴,晴,29,26,74,26,24,84,25.129999999999995,24.79000000000002,69
2021-05-04 10:00:00,4.554277777777797,0.4555555555555555,0.9001903729999999,0.3860705659772581,0.3860705659772581,0.3860705659772581,0.31619,多雲,多雲,多雲,多雲,晴,晴,29,26,74,30,27,68,25.129999999999995,24.79000000000002,69
2021-05-04 11:00:00,2.7444916666666663,0.3083333333333333,0.964877742,0.3526544631910953,0.3526544631910953,0.3526544631910953,0.96087,多雲,多雲,多雲,多雲,晴,晴,29,26,74,32,30,60,25.129999999999995,24.79000000000002,69
2021-05-04 12:00:00,3.0825666666667395,0.4444444444444445,0.961527532,0.4275805596127896,0.4275805596127896,0.4275805596127896,0.82537,多雲,多雲,多雲,多雲,晴,晴,32,29,68,31,28,63,27.950000000000053,26.840000000000032,61
2021-05-04 13:00:00,3.86464295794524,0.3972222222222222,0.8903994390000001,0.3664999066344044,0.3664999066344044,0.3664999066344044,0.35314,多雲,多雲,多雲,多雲,晴,晴,32,29,68,33,30,57,27.950000000000053,26.840000000000032,61
